"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Abilify","Aripiprazole","TABLET;ORAL","021436","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021436s048lbl.pdf#page=47"
"Abilify","Aripiprazole","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify Maintena Kit","Aripiprazole","FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","202971","OTSUKA PHARM CO LTD","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202971s013lbl.pdf#page=52"
"Abilify Mycite Kit","Aripiprazole","TABLET;ORAL","207202","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207202s006lbl.pdf#page=64"
"Abrilada","Adalimumab-Afzb","INJECTABLE;INJECTION","761118","PFIZER INC","07/29/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761118s006lbl.pdf#page=44"
"Absorica","Isotretinoin","CAPSULE;ORAL","021951","SUN PHARM INDS INC","10/08/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021951s013lbl.pdf#page=32"
"Abstral","Fentanyl Citrate","TABLET;SUBLINGUAL","022510","SENTYNL THERAPS INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022510s018lbl.pdf#page=29"
"Accutane","Isotretinoin","CAPSULE;ORAL","018662","HOFFMANN LA ROCHE","10/22/2010","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018662s061MedGuide.pdf"
"Aciphex","Rabeprazole Sodium","TABLET, DELAYED RELEASE;ORAL","020973","WOODWARD","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020973s042lbl.pdf#page=34"
"Aciphex Sprinkle","Rabeprazole Sodium","CAPSULE, DELAYED RELEASE;ORAL","204736","AYTU","11/27/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204736s012lbl.pdf#page=21"
"Actemra","Tocilizumab","INJECTABLE; INJECTION","125276","GENENTECH","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125276s134lbl.pdf#page=50"
"Actemra","Tocilizumab","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","125472","GENENTECH","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125472s046lbl.pdf#page=50"
"Acthar Gel","Corticotropin","INJECTABLE;INJECTION","008372","MALLINCKRODT ARD","10/29/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008372s071lbl.pdf#page=17"
"Actiq","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","020747","CEPHALON","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020747s056lbl.pdf#page=43"
"Actonel","Risedronate Sodium","TABLET;ORAL","020835","APIL","11/05/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf#page=38"
"Actonel With Calcium (Copackaged)","Calcium Carbonate; Risedronate Sodium","TABLET;ORAL","021823","WARNER CHILCOTT","04/08/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021823s011lbl.pdf#page=27"
"Actoplus MET","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET;ORAL","021842","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021842s022lbl.pdf#page=41"
"Actoplus MET XR","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022024","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022024s014lbl.pdf#page=41"
"Actos","Pioglitazone Hydrochloride","TABLET;ORAL","021073","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021073s049lbl.pdf#page=35"
"Adasuve","Loxapine","POWDER;INHALATION","022549","ALEXZA PHARMS","02/01/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022549s010lbl.pdf#page=28"
"Adderall 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
